"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","5570","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","7","1","1","2.540565","0","30"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","71","25","6","26.466684","0","436"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","10","2","1","4.710424","0","26"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","22","4","1","12.045807","0","133"
"/Interchange/gltf/M_Default.M_Default","0","159","22","6","149.424789","0","1268"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","6","1","1","3.119823","0","21"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","6","1","1","3.184251","0","24"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","10","2","1","4.549765","0","55"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","6","1","1","2.944614","0","24"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","8","4","1","3.465508","0","29"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","7","7","1","2.731369","0","11"
"/Interchange/gltf/M_ClearCoat.M_ClearCoat","0","159","10","6","158.205963","0","1311"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","31","5","1","15.813501","0","209"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","11","3","1","5.018461","0","41"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","6","2","1","0.000000","0","20"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","18","9","1","8.178960","0","55"
"/Interchange/gltf/M_Sheen.M_Sheen","0","159","18","6","133.236496","0","1203"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","34","3","1","14.885435","0","223"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","18","8","1","6.655055","0","74"
"/Engine/VREditor/TransformGizmo/Main.Main","0","6","4","1","2.354962","0","17"
"/Interchange/gltf/M_Transmission.M_Transmission","0","58","3","2","262.808075","0","449"
"/Interchange/gltf/M_SpecularGlossiness.M_SpecularGlossiness","0","159","22","6","151.249863","0","1025"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","0","7","1","1","2.963268","0","29"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","40","4","1","11.672414","0","425"
"/Game/blenderAssets/stoneCircle_M.stoneCircle_M","0","18","3","1","8.341130","0","82"
"/Game/Characters/Mannequins/Materials/M_Mannequin.M_Mannequin","0","64","13","2","36.376507","0","685"
"/Game/blenderAssets/toriiGate_M.toriiGate_M","0","18","6","1","9.061251","0","66"
"/Interchange/gltf/M_Unlit.M_Unlit","0","79","21","6","31.881233","0","385"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","42","15","1","17.314808","0","448"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","66","1","1","39.083080","0","751"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","98","7","1","60.975754","0","1635"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","36","1","1","14.597869","0","158"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","11","12","1","4.685392","0","19"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","6","6","1","1.752029","0","10"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","6","2","1","1.739153","0","17"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","7","1","1","2.760037","0","29"
